,name,F1,EM,mrt
0,BM25-top5,0.3447982794603552,0.2257617728531856,0.0
1,BM25-top10,0.37772260829195414,0.2581717451523546,0.0
2,TCT-JPQ-top5,0.37873052891446884,0.25373961218836566,0.0
3,TCT-HNSW-top5,0.3570785740463838,0.23545706371191136,78.84771609575671
4,TCT-Flat-top5,0.4030702864358526,0.2678670360110803,0.0
5,TCT-JPQ-top10,0.4025698562414217,0.2753462603878116,0.0
6,TCT-HNSW-top10,0.37940217421318756,0.2554016620498615,144.66940155485
7,TCT-Flat-top10,0.4295648893627123,0.29418282548476454,0.0
8,E5-JPQ-top5,0.4346625664969754,0.2966759002770083,0.0
9,E5-HNSW-top5,0.46404619517753837,0.31634349030470915,77.1369886615538
10,E5-Flat-top5,0.4883423760665173,0.3304709141274238,0.0
11,E5-JPQ-top10,0.4545113586328017,0.3177285318559557,0.0
12,E5-HNSW-top10,0.46681952499816887,0.32105263157894737,144.67856860990506
13,E5-Flat-top10,0.4999231862295679,0.3448753462603878,0.0
14,NoRAG,0.28719402915812414,0.1515235457063712,0.0
